time, light, accx, accy, accz,
9.92, 1.37416, -0.0572388, -0.0329095, 9.83657, 
9.952, 1.38277, 0.0178582, 0.031918, 9.86261, 
9.984, 1.37456, -0.00119146, 0.0274386, 9.80138, 
10.016, 1.3758, 0.0849637, 0.0378655, 9.79262, 
10.048, 1.37416, -0.000974292, -0.0758922, 9.78256, 
10.08, 1.37184, 0.0633935, 0.0154369, 9.89602, 
10.112, 1.37436, -0.00343371, -0.0227931, 9.74562, 
10.144, 1.38222, 0.0194398, 0.110201, 9.86474, 
10.176, 1.37595, 0.00717515, 0.0723442, 9.8484, 
10.208, 1.37351, -0.0368406, 0.0428914, 9.82191, 
10.24, 1.37538, -0.0283994, 0.0288854, 9.8065, 
10.272, 1.38232, 0.0161718, -0.0117256, 9.81812, 
10.304, 1.37912, -0.0146436, 0.0286959, 9.70756, 
10.336, 1.37609, 0.0114769, -0.00323527, 9.78148, 
10.368, 1.37315, -0.0313046, -0.0374949, 9.77082, 
10.4, 1.37983, 0.0335497, -0.129965, 9.82284, 
10.432, 1.38287, 0.0520215, -0.0617118, 9.80849, 
10.464, 1.37991, 0.0189028, -0.0334748, 9.85258, 
10.496, 1.38192, 0.00414804, -0.0462719, 9.90427, 
10.528, 1.37323, -0.0286027, 0.0664575, 9.85984, 
10.56, 1.37298, 0.0466928, -0.0318506, 9.71172, 
10.592, 1.37158, -0.0363494, 0.0554078, 9.8033, 
10.624, 1.37588, 0.0178957, -0.100654, 9.74601, 
10.656, 1.37635, -0.0161536, 0.0227956, 9.84716, 
10.688, 1.37374, -0.0521079, 0.0251661, 9.77269, 
10.72, 1.38262, -0.0398617, 0.0296561, 9.8398, 
10.752, 1.37333, 0.00247684, 0.0121748, 9.80039, 
10.784, 1.38274, -0.0429267, -0.0231008, 9.78779, 
10.816, 1.38056, 0.0272678, -0.0738463, 9.85262, 
10.848, 1.37799, -0.0388129, 0.119458, 9.78734, 
10.88, 1.37886, 0.00566491, -0.0240285, 9.79452, 
10.912, 1.38202, 0.0150106, 0.0559812, 9.8289, 
10.944, 1.37336, 0.0617744, -0.0108239, 9.84264, 
10.976, 1.3761, -0.00976328, -0.021099, 9.88231, 
11.008, 1.37785, -0.0322012, -0.0481913, 9.80077, 
11.04, 1.37368, 0.0475914, -0.010278, 9.84398, 
11.072, 1.3747, -0.00650722, 0.0281904, 9.7757, 
11.104, 1.37698, 0.0190566, 0.0253489, 9.8169, 
11.136, 1.37122, 0.0171212, -0.0178393, 9.86191, 
11.168, 1.38318, 0.0136927, -0.0374188, 9.85194, 
11.2, 1.38002, -0.0096496, 0.0360186, 9.8048, 
11.232, 1.38156, 0.0306221, 0.0128148, 9.83116, 
11.264, 1.37932, -0.0400784, -0.0409559, 9.81377, 
11.296, 1.37588, -0.0256401, 0.0435913, 9.86188, 
11.328, 1.38215, -0.0862523, -0.0890112, 9.72463, 
11.36, 1.38083, 0.0233206, -0.0018294, 9.81537, 
11.392, 1.37393, -0.100589, 0.0509261, 9.7273, 
11.424, 1.38063, 0.032742, -0.0669041, 9.82982, 
11.456, 1.38321, 0.00437575, -0.0398421, 9.8546, 
11.488, 1.38014, 0.129652, -0.00121908, 9.81993, 
11.52, 1.38203, -0.0798235, -0.0353845, 9.7791, 
11.552, 1.37307, 0.0371722, 0.0215117, 9.77456, 
11.584, 1.38288, 0.0376961, 0.0100805, 9.82394, 
11.616, 1.37787, 0.00490361, 0.0145167, 9.93577, 
11.648, 1.37594, -0.0262808, -0.0205872, 9.81785, 
11.68, 1.37292, 0.0283828, 0.0362282, 9.90507, 
11.712, 1.37389, 0.0853896, 0.00525183, 9.7975, 
11.744, 1.38053, -0.0116675, 0.00661315, 9.76331, 
11.776, 1.38198, 0.052781, 0.00801361, 9.79333, 
11.808, 1.37523, 0.0891694, 0.0165533, 9.73656, 
11.84, 1.37961, 0.0544776, -0.104545, 9.77825, 
11.872, 1.38157, -0.00704053, 0.108891, 9.77016, 
11.904, 1.38056, -0.0266972, 0.0180536, 9.77487, 
11.936, 1.37502, 0.0303046, -0.00772202, 9.8018, 
11.968, 1.37241, -0.0183418, 0.0137747, 9.82148, 
12, 1.37525, -0.0560571, 0.0566779, 9.74975, 
12.032, 1.37498, -0.0484171, 0.0393752, 9.78559, 
12.064, 1.37198, 0.118943, -0.050525, 9.83138, 
12.096, 1.3781, 0.0494206, -0.0544635, 9.78742, 
12.128, 1.38282, -0.0359664, -0.0368152, 9.80805, 
12.16, 1.37668, -0.0592825, -0.125259, 9.82639, 
12.192, 1.37324, -0.0322058, -0.00726813, 9.72614, 
12.224, 1.37533, 0.0507085, -0.0753822, 9.71043, 
12.256, 1.37452, -0.0460738, -0.113036, 9.84868, 
12.288, 1.37953, 0.149305, 0.0185196, 9.8752, 
12.32, 1.38104, 0.0246944, -0.0479154, 9.81173, 
12.352, 1.37557, -0.031422, -0.0133316, 9.81534, 
12.384, 1.38344, 0.00375787, -0.0250703, 9.71104, 
12.416, 1.37316, -0.0446407, -0.0648652, 9.81646, 
12.448, 1.37348, -0.0421439, -0.11299, 9.78539, 
12.48, 1.37436, 0.0927197, 0.0469995, 9.80004, 
12.512, 1.37503, -0.0517992, 0.00706274, 9.73367, 
12.544, 1.37504, 0.0540293, -0.0628518, 9.7373, 
12.576, 1.37264, 0.0314045, -0.0225324, 9.89267, 
12.608, 1.37906, -0.0358629, 0.0623005, 9.74819, 
12.64, 1.37705, -0.0843186, 0.00691911, 9.76908, 
12.672, 1.37578, 0.0121459, -0.0615122, 9.77347, 
12.704, 1.3817, 0.0933188, -0.00116015, 9.8049, 
12.736, 1.37542, 0.0325424, 0.0302669, 9.78037, 
12.768, 1.38334, -0.0730963, 0.0538522, 9.80788, 
12.8, 1.38202, 0.0588751, 0.0860291, 9.8162, 
12.832, 1.37961, 0.0308722, -0.0210107, 9.81528, 
12.864, 1.37731, -0.0233091, -0.0130509, 9.85982, 
12.896, 1.3768, 0.0251887, -0.0306244, 9.7078, 
12.928, 1.37114, -0.00954271, 0.0666387, 9.83366, 
12.96, 1.37931, -0.037472, -0.0216634, 9.82265, 
12.992, 1.37883, -0.0550024, -0.0748097, 9.79611, 
13.024, 1.38329, 0.0546956, -0.0136437, 9.8521, 
